sysTime,serialLOG
6:7:24:8:70960,"%,1,6,58.68,14.59,-94.74,0.38,0.95,0.71,1.24,1.00
"
6:7:24:8:71056,"%,1,6,58.97,16.16,-98.77,0.64,0.95,0.48,1.24,1.18
"
6:7:24:8:71153,"%,1,6,61.66,15.76,-104.62,0.42,0.81,0.40,1.00,1.16
"
6:7:24:8:71248,"%,1,6,60.93,14.29,-110.45,0.14,0.54,0.40,0.69,0.98
"
6:7:24:8:71312,"%,3,2,3,1
"
6:7:24:8:71312,"%,4,1,3
"
6:7:24:9:71625,"%,2,6,37.2897338,127.0653305,68.90,10,0.90,305.84
"
6:7:24:9:71626,"%,5,2,371.75,226.26
"
6:7:24:9:71672,"%,1,6,59.74,17.38,-126.82,0.39,0.59,0.72,1.01,0.90
"
6:7:24:9:71753,"%,1,6,60.82,20.48,-129.16,0.23,0.55,0.27,0.65,0.79
"
6:7:24:9:71863,"%,1,6,59.40,18.68,-133.79,0.02,0.59,0.37,0.70,0.79
"
6:7:24:9:71960,"%,1,6,54.89,16.02,-140.88,0.22,0.95,0.69,1.19,0.85
"
6:7:24:9:72055,"%,1,6,54.69,13.55,-140.10,0.17,0.97,0.52,1.12,1.00
"
6:7:24:9:72167,"%,1,6,56.62,11.49,-134.30,0.51,1.13,0.64,1.39,1.23
"
6:7:24:9:72263,"%,1,6,58.45,10.78,-126.25,0.38,0.84,0.49,1.05,1.19
"
6:7:24:9:72279,"%,3,2,4,1
"
6:7:24:9:72327,"%,4,1,3
"
6:7:24:10:73047,"%,3,2,4,1
"
6:7:24:10:73047,"%,4,1,3
"
6:7:24:11:73599,"%,2,6,37.2897377,127.0652923,68.80,11,1.35,277.95
"
6:7:24:11:73600,"%,5,2,370.37,225.73
"
6:7:24:11:73648,"%,1,6,58.66,17.78,-82.99,0.18,1.00,0.61,1.18,1.21
"
6:7:24:11:73823,"%,1,6,56.70,13.86,-83.85,0.19,1.02,0.68,1.24,1.16
"
6:7:24:11:73855,"%,1,6,49.62,14.95,-89.92,0.44,0.85,0.94,1.34,1.25
"
6:7:24:11:73952,"%,1,6,50.65,15.69,-94.03,0.34,0.70,0.63,1.00,1.19
"
6:7:24:11:74063,"%,1,6,53.36,17.26,-97.97,0.11,0.46,0.31,0.57,0.97
"
6:7:24:11:74159,"%,1,6,54.69,17.89,-103.84,0.01,0.54,0.50,0.73,0.77
"
6:7:24:11:74255,"%,1,6,51.82,20.36,-108.60,0.14,0.86,0.75,1.15,0.82
"
6:7:24:11:74287,"%,3,2,4,1
"
6:7:24:11:74287,"%,4,1,3
"
6:7:24:12:74604,"%,2,6,37.2897338,127.0652847,68.60,11,1.28,268.35
"
6:7:24:12:74619,"%,5,2,368.96,225.80
"
6:7:24:12:74652,"%,1,6,57.21,21.70,-99.66,0.12,0.38,0.31,0.51,0.80
"
6:7:24:12:74764,"%,1,6,56.24,19.86,-97.90,0.14,0.64,0.63,0.91,0.86
"
6:7:24:12:74860,"%,1,6,55.32,17.97,-97.93,0.31,1.03,0.79,1.34,0.92
"
6:7:24:12:74972,"%,1,6,51.61,19.23,-102.10,0.46,0.95,0.75,1.29,1.18
"
6:7:24:12:75052,"%,1,6,51.65,18.84,-109.35,0.54,0.86,0.68,1.22,1.28
"
6:7:24:12:75163,"%,1,6,52.14,19.52,-116.99,0.20,0.51,0.33,0.64,1.05
"
6:7:24:12:75243,"%,1,6,52.62,19.23,-121.16,0.06,0.61,0.34,0.70,0.85
"
6:7:24:12:75307,"%,3,2,4,1
"
6:7:24:12:75307,"%,4,1,3
"
