sysTime,roll,pitch,yaw,ax,ay,az
4:7:53:34:81927,-33.49,59.47,-140.82,0.71,-0.62,0.43
4:7:53:34:82039,-36.17,56.53,-138.84,0.7,-0.4,0.24
4:7:53:34:82150,-33.98,50.19,-133.59,0.92,-0.55,0.76
4:7:53:34:82231,-32.83,49.13,-131.04,0.87,-0.17,0.42
4:7:53:34:82327,-31.91,52.61,-133.34,0.61,-0.42,0.47
4:7:53:35:82454,-32.34,51.93,-135.16,0.67,-0.46,0.49
4:7:53:35:82945,-33.63,48.01,-129.57,0.86,-0.28,0.7
4:7:53:35:83040,-36.71,50.09,-134.69,0.68,-0.28,0.35
4:7:53:35:83136,-41.51,52.51,-143.03,0.72,-0.6,0.55
4:7:53:35:83263,-43.05,47.98,-145.97,0.79,-0.79,0.67
4:7:53:35:83329,-40.45,42.81,-139.6,0.8,-0.01,0.12
4:7:53:36:83440,-38.94,44.43,-140.82,0.68,-0.55,0.58
4:7:53:36:83943,-44.39,41.46,-142.03,0.74,0.06,-0.01
4:7:53:36:84040,-44.54,42.22,-144.35,0.67,-0.59,0.51
4:7:53:36:84184,-42.74,44.22,-146.29,0.63,-0.55,0.59
4:7:53:36:84248,-45.27,43.93,-150.7,0.68,-0.45,0.36
4:7:53:37:84424,-46.96,44.48,-155.06,0.53,-0.57,0.47
4:7:53:37:84471,-49.62,42.69,-155.95,0.67,-0.47,0.46
4:7:53:37:84965,-36.99,40.05,-130.69,0.56,-0.52,0.65
4:7:53:37:85030,-32.42,40.64,-125.83,0.61,-0.4,0.66
4:7:53:37:85126,-30.29,40.87,-124.05,0.64,-0.37,0.68
4:7:53:37:85254,-29.13,41.82,-125.03,0.61,-0.35,0.75
4:7:53:38:85365,-26.53,43.61,-124.27,0.65,-0.27,0.64
4:7:53:38:85430,-22.58,46.23,-120.81,0.7,-0.2,0.59
4:7:53:38:85960,-10.57,50.28,-111.14,0.7,0.02,0.56
4:7:53:38:86040,-14.08,49.79,-116.02,0.57,-0.05,0.59
4:7:53:38:86136,-19.84,44.56,-126.66,0.6,-0.44,0.69
4:7:53:38:86232,-21.84,39.08,-130.23,0.88,-0.23,0.41
4:7:53:38:86344,-24.22,32.12,-135.5,0.79,-0.53,0.87
4:7:53:39:86439,-25.22,36.26,-134.3,0.61,-0.42,0.66
4:7:53:39:86960,-28.73,40.95,-137.08,0.55,-0.29,0.65
4:7:53:39:87025,-27.03,41.04,-133.99,0.64,-0.3,0.68
4:7:53:39:87137,-23.78,42.43,-128.96,0.71,-0.17,0.58
4:7:53:39:87249,-20.57,42.06,-125.24,0.68,-0.23,0.7
4:7:53:40:87361,-19.7,42.62,-121.28,0.71,-0.18,0.67
4:7:53:40:87440,-18.65,44.31,-117.42,0.74,-0.19,0.63
4:7:53:40:87959,-17.94,46.04,-114.47,0.64,-0.29,0.63
