sysTime,roll,pitch,yaw,ax,ay,az
4:23:52:25:583945,73.22,61.33,23.98,0.86,0.46,0.14
4:23:52:25:584041,73.21,61.34,23.93,0.87,0.45,0.14
4:23:52:25:584264,73.04,61.43,23.67,0.87,0.45,0.14
4:23:52:25:584360,72.94,61.47,23.52,0.87,0.45,0.14
4:23:52:25:584456,72.95,61.43,23.47,0.87,0.45,0.13
4:23:52:25:584552,72.97,61.44,23.49,0.87,0.45,0.14
4:23:52:25:584648,72.99,61.41,23.46,0.87,0.45,0.14
4:23:52:26:584744,72.99,61.36,23.46,0.87,0.45,0.14
4:23:52:26:584840,72.97,61.36,23.41,0.87,0.45,0.14
4:23:52:26:585448,73.46,60.01,22.76,0.85,0.49,0.12
4:23:52:26:585543,72.64,60.72,22.77,0.87,0.44,0.15
4:23:52:26:585640,73.17,59.89,23.17,0.86,0.48,0.14
4:23:52:27:585751,73.21,58.89,23.27,0.84,0.48,0.14
4:23:52:27:585847,73.34,58.14,23.93,0.84,0.5,0.14
4:23:52:27:585943,73.64,57.13,23.71,0.83,0.51,0.15
4:23:52:27:586040,73.86,55.54,23.0,0.8,0.57,0.14
4:23:52:27:586231,73.41,55.44,22.85,0.8,0.56,0.15
4:23:52:27:586342,72.78,56.55,22.8,0.83,0.51,0.15
4:23:52:27:586440,72.22,57.25,22.48,0.82,0.52,0.16
4:23:52:27:586535,72.38,57.48,22.82,0.83,0.51,0.15
4:23:52:27:586662,72.17,57.48,22.74,0.83,0.52,0.18
4:23:52:28:586759,72.37,57.57,23.02,0.85,0.49,0.15
4:23:52:28:586855,72.49,57.27,23.23,0.83,0.52,0.15
4:23:52:28:587446,72.63,57.9,25.19,0.83,0.51,0.14
4:23:52:28:587542,72.63,58.18,25.22,0.84,0.5,0.15
4:23:52:28:587654,72.4,58.63,24.95,0.84,0.5,0.16
4:23:52:29:587750,72.19,59.33,25.04,0.86,0.47,0.15
4:23:52:29:587846,72.11,60.05,25.24,0.86,0.46,0.15
4:23:52:29:587942,72.23,60.42,25.32,0.86,0.46,0.15
4:23:52:29:588038,72.13,60.72,25.15,0.86,0.47,0.15
4:23:52:29:588229,71.87,61.35,24.26,0.86,0.45,0.15
4:23:52:29:588358,71.68,61.67,23.76,0.88,0.44,0.15
4:23:52:29:588453,71.67,61.84,23.46,0.87,0.43,0.15
